No,Nama tempat,kabupaten kota,kategori,latitude,longitude,Fasilitas,rating,Foto
236,Pura Giri Sutra Mandala,Pringsewu,wisata budaya,-5.3347304,105.0595727,"Parkir, Toilet, Mushola, Restoran",4.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQM_n141hN_NluvB32-u7div5cVC3cm4w0Ywg&s
237,REST Area Pringsewu,Pringsewu,wisata buatan,"-5,3725775","105,0122772","Parkir, Toilet, Mushola, Restoran",4.5,https://lampung.rilis.id/image/2022/05/0842IcssO_IMG-20220508-WA0000.jpg
238,Rumah Kalkun,Pringsewu,wisata buatan,"-5,3592667","104,9922256","Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9aaYVowNO3WcqCd9rySFO5pqX0AYy9DzlEw&s
239,Saung Cempedak,Pringsewu,wisata buatan,"-5,3567875","104,981605","Parkir, Toilet, Mushola, Restoran",4.5,https://lampuung.com/wp-content/uploads/2021/05/IMG-20210507-WA0010.jpg
240,SENJA WISATA RUMAH KAYU,Pringsewu,wisata buatan,"-5,356496","104,971839","Parkir, Toilet, Mushola, Restoran",4.3,https://publikasilampung.id/wp-content/uploads/2023/10/Foto-Gambar-Taman-Wisata-Senja-Rumah-Kayu-Mary-Grace-Exconde.jpg
241,Sentral Industri Tahu,Pringsewu,wisata buatan,"-6,93194735","107,5783029","Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCu_fC_17S0jkQF0xYYmvDlRisDpOFyKS_4g&s
242,Talang Indah,Pringsewu,wisata buatan,"-5,340414327","104,9842509","Parkir, Toilet, Mushola, Restoran",3.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4unzHxn6IKoC9OpBFBW9zlB2SgM02gl9utg&s
243,Talang Resort,Pringsewu,wisata buatan,-5.3579577,104.93707448,"Parkir, Toilet, Mushola, Restoran",4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6AzG_xYHiEOLwGiZiAgk7Gpix4DA4lUFI0g&s
244,Taman Jomblo,Pringsewu,wisata buatan,-5.2999988,104.9195947,"Parkir, Toilet, Mushola, Restoran",4.2,https://newslampungterkini.com/wp-content/uploads/2020/07/TAMAN-JOMBLO-PRINGSEWU-LAMPUNG-4.jpg
245,TAMAN KUDA PRINGSEWU,Pringsewu,wisata buatan,-5.342480043,105.0262462,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX9Or92yp20l8YwWs5iA0z5nwRWkT0Kp0F4Q&s
246,Taman Lantana,Pringsewu,wisata buatan,-5.3656837,105.061629,"Parkir, Toilet, Mushola, Restoran",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9hGIF0bOMMSUaV8DbdvUcvIJ58esq15QyPQ&s
247,WISATA SABAH PAJARAGUNG,Pringsewu,wisata buatan,-5.36277729,104.9520763,"Parkir, Toilet, Mushola, Restoran",5,https://asset.tribunnews.com/k3GpcM8QQnwz2qTxO5-jHtIpTww=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/lampung/foto/bank/originals/bukit-pjr_20180802_135044.jpg
248,Taman Sabin Wonodadi,Pringsewu,wisata buatan,-5.3824742,105.0552499,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTykLbSL2idorVHG2XnXjeE4XJCjUOyPRPxMg&s
